village,signatureAbilities,avatarSrc,description,name
Leaf Village,Kikaichuu no Jutsu,https://narutoql.s3.amazonaws.com/Aburame.jpg,This clan from Konoha Village is known for its ties to insect. At birth clan members form an agreement with bugs to inhabit and feed on the chakra their body creates. In return the bugs will serve the commands of the clan member.,Aburame Clan
Leaf Village,Baika no Jutsu,https://narutoql.s3.amazonaws.com/AkimichiClan.gif,"This clan from Konoha Village is known for its ability to modify the size of its body, increasing their mass to a large spherical ball. In this form it is difficult for the clan user to take physical damage. The Akimichi clan have worked along side the Nara and Yamanaka clans for many generations. With each new generation, the clan member swears an oath to defend the honor of the previous generation and also raise a new generation to look after the village.",Akimichi Clan
Rain Village,,https://narutoql.s3.amazonaws.com/FuumaClan.jpg,"The Fuuma were a well known clan around the Rain Country. After Jiraiya started his world travels, he battled a ninja from this clan. Later, Jiraiya would hear rumors that Pain, the leader of Akatsuki, was from this clan.",Fuuma Clan
Mist Village,Suika no Jutsu,https://narutoql.s3.amazonaws.com/Mangetsu.jpg,"This clan from Kiri Village is known for its ability to liquefy their body. Mangetsu and his younger brother Suigetsu were skilled swordsmen who formed ties to the Seven Swordsmen of the Mist. Through the usage of their Suika no Jutsu, clan members could turn their body into water. This process dried them out and necessitated them constantly drinking water to stay hydrated.",Houzuki Clan
Leaf Village,Byakugan,https://narutoql.s3.amazonaws.com/Hyuuga.jpg,"This clan from Konoha Village is known for its ability to visualize the chakra pathways, or tenketsu, of their opponent. Using this technique in conjunction with taijutsu techniques, they can forceably close their opponents chakra points so the victim can no longer use their chakra.",Hyuuga Clan
Leaf Village,Shikyaku no Jutsu,https://narutoql.s3.amazonaws.com/Akamaru.jpg,This clan from Konoha Village is known for its ties to the canine species. Many members have a canine familiar who acts as a partner to the clan member. Also clan members can use jutsu to take on canine-like abilities.,Inuzuka Clan
Mist Village,Shikotsu Myaku,https://narutoql.s3.amazonaws.com/KimimaroBloodline.jpg,"The Kaguya clan hailed from Hidden Mist and they were known for their love of battle. They foolishly decided to challenge their home country and they were all wiped out save for Kimimaro. This clan has the ability to manipulate their bone structure, this ability is called Shikotsu Myaku (Corpse Bone Pathways). They can remove their bones at will to create weapons as strong as steel and also use their abilty to spurn the creation of new bones.",Kaguya Clan
Rock Village,Bee Manipulation,https://narutoql.s3.amazonaws.com/Kamizuru.jpg,"Years previously the Kamizuru Clan was a prominent clan in Hidden Rock. They took the forefront leading an attack against Konoha. They were met by the Aburame clan and stopped before they could enter Konoha. Thousands died in the battle, and the clan fell on hard times. Years later Jibachi, Kurobachi and Suzumebachi would travel to the Bikouchuu birthing grounds to locate the legendary tracking bug in the hope it would help restore their name.
Click For Quick-Spoilers:The three clan members hoped to use the Bikouchuu to locate a forbidden scroll containing secret bug usage jutsu. They believed this would allow them to user higher level jutsu and do higher difficulty missions. As a result, they would gain prominence and return good favor to their clan.",Kamizuru Clan
Leaf Village,Kao Utsushi,https://narutoql.s3.amazonaws.com/UtsushiB.jpg,The Kedouin were a small clan known for their ability to take on the appearance of others. The copy is said to be so good that even family members of the target can not tell they are a fake.,Kedouin Clan
Leaf Village,,https://narutoql.s3.amazonaws.com/Kohaku.gif,The Kohaku were a small clan based in a below ground level compound near the border of the Fire Country. All the members of the clan were wiped out by Furido and his men and then later resurrected as mindless zombies.,Kohaku Clan
Leaf Village,Genjutsu,https://narutoql.s3.amazonaws.com/StringBeanA.jpg,"The Kurama were one of the elder clans of Konoha, known for their high skills in Genjutsu. Over the years less and less clan members were able to pass the Chuunin Exams, and the hopes for the clan's future were placed in the young Kurama heir Yakumo.",Kurama Clan
