age,firstAnimeAppearance,firstMangaAppearance,village,nameMeaning,notableFeatures,notableQuotes,rank,avatarSrc,description,name
39,Naruto Episode 79,Chapter 137,Leaf Village,"Aburame=""Oil Woman"" | Shibi=A type of tile, also a location",,,Jounin,https://narutoql.s3.amazonaws.com/Aburame2.jpg,"Aburame Shibi is the father of Aburame Shino. Like his son, his body is also inhabited by the destruction bugs.",Aburame Shibi
16,Naruto Episode 1,Chapter 34,Leaf Village,"Aburame=""Oil Woman"" | Shino=Potentially meant to be same kanji as in ""shinobi""","Quiet demeanor, Always respecting of insect life.","""Even if our enemy is a small bug, we will not underestimate it.""",Chuunin - Team 8,https://narutoql.s3.amazonaws.com/Shino.jpg,"A Genin from the village of Konoha, Shino hails from the Aburame clan know for their ability to control insects. These insects are introduced into the body of the Aburame clan at birth. The clan member and the insects then form a partnership. The insects will feed on the chakra of the ninja, in exchange for following the commands of the clan member when so desired.",Aburame Shino
,Shippuuden Episode 198,Chapter 454,Leaf Village,,,,,https://narutoql.s3.amazonaws.com/Torune.jpg,"Aburame ""Torune"" is an ANBU Root member in Hidden Leaf Village. He attended the five Kage summit with Danzou. Because masks were not allowed at the summit, Torune had to go in his normal clothing. He and Fuu are regarded as the most skilled Root members.","Aburame ""Torune"""
23,Naruto Episode 36,Chapter 45,Leaf Village,"Akadou=""Red Body""| Yoroi=""Armor""","Wears ocular lenses over his eyes, Also has covering over his lower face.",,Genin,https://narutoql.s3.amazonaws.com/YoroiMember.jpg,"A Genin from the village of Konoha, Yoroi is entered into the Chuunin Exam.",Akadou Yoroi
,Shippuuden Episode 199,Chapter 454,Rock Village,"Aka=""Red"" tsuchi=Can mean clay or earth",,,Unknown (Probably Jounin),https://narutoql.s3.amazonaws.com/Akatsuchi.jpg,Akatsuchi is a ninja in Hidden Rock village. He attended the five Kage summit with the Tsuchikage.,Akatsuchi
,,Chapter 522,Mist Village,Akebi=Chocolate vine no=field | Ji=bait nin=man,Wields Kabutowari,,Unknown (Probably Jounin),https://narutoql.s3.amazonaws.com/Jinin.jpg,"Akebino Jinin was a former member of the Mist Seven Swordsmen. Jinin wielded the Kabutowari (Helmsplitter), which could pierce and hammer through any defense. At some point in the past Jinin died and the Kabutowari were left for the next generation of swordsmen.",Akebino Jinin
16,Naruto Episode 1,Chapter 34,Leaf Village,"Akimichi=""Autumn Road"" | Chou=""Butterfly"" ji=can mean child or love","Big boned, Often seen eating or hungry, Best-friend of Nara Shikamaru","""Akamaru sure looks tasty.""",Chuunin - Team 10,https://narutoql.s3.amazonaws.com/Choji.jpg,"A Genin from the village of Konoha, Chouji hails from the Akimichi clan know for their ability to control the size of their body.",Akimichi Chouji 
38,Naruto Episode 59,Chapter 137,Leaf Village,"Akimichi=""Autumn Road"" | Chou=Butterfly za=can mean sitting down or seat","Member of Jounin group Ino Shika Cho, Chouji&apos;s Father, Good-natured","""Chouji, you&apos;ve got a kinder heart than anyone I know. There will be someone who will see that in you and become your friend. If you meet him, treat him as your best friend, and become comrades who will trust in each other more than anything else.""",Jounin,https://narutoql.s3.amazonaws.com/ChomarusStaff2.jpg,"A Jounin from Leaf Village, Chouza hails from the Akimichi Clan, known for their ability to manipulate their size. Akimichi Chouza is the father of Akimichi Chouji.",Akimichi Chouza
,Shippuuden Episode 199,Chapter 454,Mist Village,Blue,Has eye patch over right eye.,,Unknown (Probably Jounin),https://narutoql.s3.amazonaws.com/Ao.jpg,Ao is a ninja in Hidden Mist village. He attended the five Kage summit with the Mizukage.,Ao
21,Naruto Episode 52,Fan Book Special,,"Ayame=An iris flower, a pattern and a name",Waitress at Ichiraku Ramen.,,,https://narutoql.s3.amazonaws.com/Ayame.jpg,"Ayame is the waitress at Ichiraku Ramen, Naruto&apos;s favorite place to get a bite to eat.",Ayame
